iter	Passed	Remaining
266	21629	59378
267	21710	59299
268	21784	59198
269	21868	59126
270	21945	59034
271	22026	58952
272	22116	58895
273	22206	58840
274	22285	58753
275	22360	58656
276	22439	58568
277	22516	58478
278	22605	58418
279	22695	58360
280	22775	58277
281	22862	58210
282	22950	58146
283	23038	58081
284	23122	58009
285	23198	57914
286	23282	57842
287	23374	57785
288	23442	57674
289	23519	57581
290	23605	57512
291	23692	57446
292	23775	57369
293	23855	57286
294	23930	57190
295	24013	57112
296	24099	57043
297	24184	56970
298	24273	56908
299	24354	56826
300	24441	56758
301	24540	56718
302	24624	56645
303	24707	56566
304	24788	56484
305	24865	56393
306	24955	56332
307	25040	56260
308	25127	56192
309	25206	56103
310	25294	56037
311	25367	55937
312	25442	55842
313	25536	55790
314	25627	55729
315	25709	55648
316	25786	55559
317	25871	55486
318	25962	55425
319	26043	55343
320	26125	55262
321	26198	55162
322	26274	55071
323	26363	55004
324	26437	54908
325	26525	54841
326	26599	54744
327	26680	54663
328	26763	54584
329	26843	54500
330	26921	54412
331	27014	54354
332	27088	54258
333	27187	54212
334	27288	54170
335	27368	54085
336	27460	54025
337	27558	53975
338	27645	53905
339	27711	53792
340	27794	53714
341	27879	53638
342	27973	53581
343	28063	53517
344	28156	53456
345	28252	53402
346	28346	53343
347	28435	53275
348	28523	53206
349	28608	53129
350	28692	53052
351	28769	52961
352	28860	52898
353	28937	52807
354	29022	52731
355	29109	52658
356	29201	52596
357	29277	52503
358	29362	52427
359	29446	52349
360	29536	52282
361	29612	52189
362	29695	52110
363	29774	52023
364	29845	51923
365	29934	51854
366	30026	51788
367	30106	51704
368	30189	51624
369	30274	51548
370	30349	51455
371	30440	51389
372	30531	51323
373	30601	51221
374	30680	51134
375	30756	51042
376	30843	50969
377	30919	50878
378	31023	50832
379	31118	50771
380	31210	50707
381	31295	50629
382	31382	50556
383	31458	50464
384	31538	50379
385	31639	50327
386	31726	50253
387	31803	50164
388	31875	50066
389	31963	49994
390	32041	49905
391	32121	49821
392	32196	49728
393	32282	49652
394	32384	49601
395	32468	49523
396	32541	49426
397	32616	49334
398	32707	49265
399	32777	49165
400	32860	49085
401	32950	49015
402	33039	48944
403	33133	48880
404	33210	48790
405	33286	48699
406	33374	48626
407	33460	48550
408	33545	48473
409	33620	48380
410	33699	48294
411	33788	48222
412	33866	48134
413	33940	48041
414	34027	47965
415	34112	47888
416	34203	47819
417	34291	47745
418	34379	47672
419	34480	47616
420	34564	47535
421	34651	47461
422	34731	47375
423	34814	47295
424	34887	47200
425	34977	47128
426	35068	47058
427	35158	46986
428	35234	46897
429	35316	46815
430	35419	46760
431	35493	46667
432	35576	46586
433	35666	46514
434	35751	46435
435	35838	46359
436	35919	46276
437	36002	46195
438	36103	46136
439	36197	46069
440	36281	45989
441	36359	45901
442	36445	45823
443	36530	45745
444	36610	45660
445	36693	45579
446	36783	45506
447	36855	45411
448	36938	45329
449	37019	45245
450	37101	45162
451	37181	45077
452	37276	45011
453	37352	44921
454	37424	44827
455	37515	44755
456	37589	44662
457	37667	44575
458	37744	44488
459	37816	44392
460	37902	44315
461	37981	44229
462	38086	44173
463	38157	44078
464	38241	43997
465	38335	43929
466	38417	43846
467	38513	43780
468	38594	43696
469	38667	43603
470	38744	43515
471	38830	43437
472	38914	43356
473	38986	43263
474	39066	43178
475	39140	43087
476	39230	43013
477	39308	42926
478	39397	42851
479	39495	42786
480	39573	42700
481	39645	42607
482	39718	42514
483	39798	42429
484	39885	42352
485	39964	42266
486	40049	42187
487	40130	42104
488	40213	42022
489	40292	41936
490	40366	41846
491	40467	41783
492	40547	41699
493	40641	41628
494	40734	41556
495	40817	41476
496	40897	41391
497	40985	41314
498	41081	41245
499	41161	41161
500	41245	41081
501	41325	40996
502	41420	40926
503	41500	40841
504	41582	40759
505	41653	40665
506	41740	40588
507	41815	40498
508	41896	40414
509	41978	40332
510	42062	40251
511	42150	40174
512	42239	40098
513	42333	40027
514	42423	39952
515	42525	39887
516	42602	39800
517	42679	39713
518	42753	39623
519	42844	39548
520	42925	39464
521	43019	39392
522	43108	39316
523	43185	39229
524	43271	39150
525	43361	39074
526	43438	38987
527	43529	38912
528	43605	38824
529	43682	38737
530	43766	38655
531	43856	38580
532	43935	38495
533	44020	38414
534	44105	38334
535	44193	38257
536	44279	38177
537	44356	38090
538	44442	38011
539	44521	37926
540	44621	37858
541	44702	37774
542	44779	37687
543	44864	37607
544	44958	37534
545	45034	37446
546	45119	37365
547	45203	37284
548	45294	37208
549	45381	37130
550	45470	37053
551	45548	36966
552	45619	36875
553	45707	36797
554	45798	36721
555	45881	36639
556	45963	36556
557	46056	36482
558	46155	36412
559	46243	36334
560	46332	36256
561	46405	36166
562	46490	36086
563	46571	36002
564	46661	35925
565	46736	35836
566	46815	35751
567	46904	35673
568	46997	35599
569	47079	35515
570	47170	35440
571	47262	35364
572	47346	35282
573	47429	35199
574	47515	35120
575	47608	35044
576	47684	34957
577	47773	34879
578	47846	34789
579	47942	34716
580	48020	34630
581	48097	34544
582	48170	34455
583	48255	34373
584	48333	34288
585	48413	34203
586	48513	34133
587	48594	34048
588	48683	33970
589	48760	33884
590	48842	33801
591	48916	33712
592	49013	33640
593	49095	33556
594	49178	33474
595	49268	33396
596	49355	33317
597	49432	33230
598	49509	33144
599	49583	33055
600	49665	32972
601	49734	32881
602	49817	32798
603	49910	32722
604	49984	32634
605	50066	32551
606	50158	32474
607	50243	32393
608	50328	32312
609	50419	32235
610	50493	32147
611	50568	32059
612	50649	31976
613	50724	31888
614	50801	31802
615	50890	31724
616	50987	31650
617	51074	31570
618	51152	31485
619	51233	31401
620	51326	31324
621	51409	31242
622	51488	31157
623	51574	31077
624	51654	30992
625	51729	30905
626	51813	30823
627	51895	30740
628	51981	30659
629	52055	30572
630	52144	30493
631	52227	30410
632	52312	30329
633	52392	30245
634	52471	30160
635	52564	30083
636	52655	30006
637	52732	29920
638	52825	29843
639	52907	29760
640	52997	29681
641	53084	29601
642	53165	29518
643	53256	29439
644	53347	29361
645	53433	29280
646	53512	29196
647	53586	29108
648	53674	29029
649	53763	28949
650	53861	28874
651	53948	28794
652	54029	28711
653	54121	28632
654	54197	28546
655	54279	28463
656	54368	28383
657	54463	28307
658	54547	28225
659	54635	28145
660	54719	28063
661	54816	27987
662	54913	27912
663	54994	27828
664	55082	27748
665	55173	27669
666	55265	27591
667	55348	27508
668	55431	27425
669	55513	27342
670	55598	27260
671	55678	27176
672	55781	27103
673	55860	27018
674	55941	26934
675	56024	26852
676	56106	26768
677	56204	26692
678	56289	26611
679	56373	26528
680	56453	26444
681	56544	26365
682	56623	26280
683	56701	26195
684	56774	26108
685	56858	26025
686	56945	25944
687	57028	25861
688	57113	25779
689	57185	25691
690	57285	25617
691	57373	25536
692	57451	25451
693	57537	25369
694	57618	25285
695	57689	25197
696	57760	25109
697	57843	25026
698	57914	24938
699	57996	24855
700	58074	24770
701	58155	24686
702	58234	24602
703	58310	24516
704	58403	24438
705	58477	24351
706	58566	24271
707	58651	24189
708	58732	24106
709	58825	24027
710	58905	23943
711	58983	23858
712	59068	23776
713	59150	23693
714	59226	23607
715	59315	23527
716	59417	23452
717	59500	23369
718	59584	23286
719	59665	23203
720	59743	23118
721	59820	23033
722	59901	22949
723	59983	22866
724	60068	22784
725	60153	22702
726	60242	22621
727	60329	22540
728	60421	22461
729	60508	22379
730	60600	22300
731	60685	22218
732	60768	22135
733	60852	22052
734	60930	21968
735	61011	21884
736	61101	21804
737	61188	21722
738	61278	21642
739	61378	21565
740	61469	21485
741	61546	21400
742	61622	21314
743	61707	21232
744	61788	21148
745	61877	21068
746	61969	20988
747	62064	20909
748	62149	20827
749	62237	20745
750	62311	20659
751	62392	20576
752	62473	20492
753	62577	20416
754	62657	20332
755	62741	20249
756	62809	20162
757	62889	20078
758	62973	19995
759	63049	19910
760	63129	19826
761	63224	19747
762	63301	19662
763	63392	19581
764	63469	19497
765	63543	19411
766	63624	19327
767	63705	19244
768	63789	19161
769	63877	19080
770	63965	18998
771	64051	18916
772	64138	18835
773	64217	18750
774	64302	18668
775	64391	18587
776	64470	18503
777	64557	18421
778	64638	18337
779	64717	18253
780	64803	18171
781	64892	18090
782	64978	18008
783	65076	17929
784	65152	17844
785	65229	17759
786	65310	17676
787	65396	17594
788	65474	17509
789	65555	17426
790	65629	17340
791	65714	17258
792	65789	17173
793	65867	17088
794	65959	17008
795	66045	16926
796	66129	16843
797	66221	16762
798	66308	16680
799	66393	16598
800	66480	16516
801	66559	16432
802	66639	16348
803	66729	16267
804	66820	16186
805	66899	16102
806	66972	16017
807	67054	15933
808	67136	15850
809	67222	15768
810	67314	15687
811	67391	15602
812	67474	15519
813	67549	15435
814	67630	15351
815	67715	15269
816	67804	15187
817	67890	15105
818	67967	15020
819	68065	14941
820	68149	14858
821	68235	14776
822	68313	14691
823	68392	14608
824	68481	14526
825	68559	14442
826	68644	14359
827	68731	14277
828	68812	14194
829	68884	14108
830	68960	14024
831	69043	13941
832	69122	13857
833	69211	13775
834	69295	13693
835	69387	13611
836	69468	13528
837	69554	13446
838	69634	13362
839	69716	13279
840	69799	13196
841	69889	13114
842	69959	13029
843	70047	12947
844	70141	12866
845	70210	12780
846	70300	12698
847	70380	12615
848	70455	12530
849	70535	12447
850	70617	12364
851	70694	12280
852	70779	12197
853	70874	12116
854	70948	12032
855	71028	11948
856	71113	11866
857	71200	11783
858	71291	11702
859	71372	11618
860	71446	11534
861	71522	11450
862	71601	11366
863	71682	11283
864	71751	11198
865	71835	11115
866	71917	11032
867	71996	10948
868	72081	10866
869	72164	10783
870	72236	10698
871	72318	10615
872	72405	10533
873	72482	10449
874	72573	10367
875	72655	10284
876	72740	10201
877	72833	10120
878	72923	10038
879	73008	9955
880	73091	9872
881	73183	9791
882	73256	9706
883	73329	9622
884	73414	9539
885	73500	9457
886	73583	9374
887	73654	9289
888	73721	9204
889	73796	9120
890	73874	9037
891	73962	8955
892	74045	8872
893	74116	8787
894	74205	8705
895	74291	8623
896	74373	8540
897	74460	8457
898	74532	8373
899	74616	8290
900	74701	8208
901	74784	8125
902	74855	8040
903	74944	7958
904	75021	7875
905	75113	7793
906	75200	7710
907	75276	7627
908	75377	7546
909	75451	7462
910	75522	7378
911	75627	7297
912	75713	7214
913	75801	7132
914	75890	7049
915	75964	6966
916	76047	6883
917	76135	6800
918	76215	6717
919	76296	6634
920	76373	6551
921	76453	6467
922	76525	6384
923	76607	6301
924	76690	6218
925	76779	6135
926	76875	6053
927	76955	5970
928	77028	5887
929	77123	5804
930	77208	5722
931	77296	5639
932	77371	5556
933	77473	5474
934	77550	5391
935	77631	5308
936	77724	5225
937	77810	5143
938	77896	5060
939	77983	4977
940	78066	4894
941	78159	4812
942	78243	4729
943	78315	4645
944	78400	4563
945	78477	4479
946	78558	4396
947	78638	4313
948	78718	4230
949	78788	4146
950	78876	4064
951	78959	3981
952	79050	3898
953	79128	3815
954	79217	3732
955	79292	3649
956	79387	3567
957	79464	3483
958	79538	3400
959	79615	3317
960	79702	3234
961	79793	3151
962	79866	3068
963	79942	2985
964	80026	2902
965	80112	2819
966	80184	2736
967	80292	2654
968	80381	2571
969	80461	2488
970	80549	2405
971	80646	2323
972	80724	2240
973	80802	2156
974	80883	2073
975	80965	1990
976	81044	1907
977	81119	1824
978	81194	1741
979	81284	1658
980	81362	1575
981	81442	1492
982	81515	1409
983	81591	1326
984	81678	1243
985	81765	1160
986	81841	1077
987	81928	995
988	81998	912
989	82092	829
990	82166	746
991	82244	663
992	82337	580
993	82438	497
994	82524	414
995	82606	331
996	82695	248
997	82780	165
998	82854	82
999	82940	0
